"If [A]","Time [ns]","Distance [meter]","Brad []"
500,28000000,0.180791385,1.20196350738972
500,28000000,0.18200475,1.20714605158254
500,28000000,0.183218115,1.21108656756999
500,28000000,0.18443148,1.21359515116662
500,28000000,0.185644845,1.21530319282413
500,28000000,0.18685821,1.21661089608761
500,28000000,0.188071575,1.2174671552719
500,28000000,0.18928494,1.21805497302082
500,28000000,0.190498305,1.21847115325186
500,28000000,0.19171167,1.21875461375057
500,28000000,0.192925035,1.21897232734431
500,28000000,0.1941384,1.21912862108574
500,28000000,0.195351765,1.21922596726303
500,28000000,0.19656513,1.21963938814152
500,28000000,0.197778495,1.21877730519272
500,28000000,0.19899186,1.21804425422051
500,28000000,0.200205225,1.21896998143453
500,28000000,0.20141859,1.21925923661206
500,28000000,0.202631955,1.21708142289803
500,28000000,0.20384532,1.21549884820529
500,28000000,0.205058685,1.21176285779742
500,28000000,0.20627205,1.20593333734234
500,28000000,0.207485415,1.2051045515208
500,28000000,0.20869878,1.19698407433193
500,28000000,0.209912145,1.19503052922329
500,28000000,0.21112551,1.17375766838084
500,28000000,0.212338875,1.15896390444176
500,28000000,0.21355224,1.13863253594996
500,28000000,0.214765605,1.11759965399763
500,28000000,0.21597897,1.09604035267522
500,28000000,0.217192335,1.06994912175913
500,28000000,0.2184057,1.04411838930673
500,28000000,0.219619065,1.0186420014991
500,28000000,0.22083243,0.997148420750535
500,28000000,0.222045795,0.976771316595628
500,28000000,0.22325916,0.963972149510216
500,28000000,0.224472525,0.95451866108794
500,28000000,0.22568589,0.947333815802383
500,28000000,0.226899255,0.947689272052058
500,28000000,0.22811262,0.951986529173686
500,28000000,0.229325985,0.958259107445301
500,28000000,0.23053935,0.974488899581243
500,28000000,0.231752715,0.989353022012089
500,28000000,0.23296608,1.01038263232472
500,28000000,0.234179445,1.03289275195164
500,28000000,0.23539281,1.05741191775944
500,28000000,0.236606175,1.08190575829551
500,28000000,0.23781954,1.10316398126626
500,28000000,0.239032905,1.12526329617762
500,28000000,0.24024627,1.15353283359645
500,28000000,0.241459635,1.17688901317013
500,28000000,0.242673,1.21571345326329
500,28000000,0.243886365,1.20304641802653
500,28000000,0.24509973,1.21238342497726
500,28000000,0.246313095,1.21555677605757
500,28000000,0.24752646,1.21986874022813
500,28000000,0.248739825,1.22028559273183
500,28000000,0.24995319,1.22447454516777
500,28000000,0.251166555,1.2252904962829
500,28000000,0.25237992,1.22576418874125
500,28000000,0.253593285,1.22637630849829
500,28000000,0.25480665,1.22662702661423
500,28000000,0.256020015,1.22661915458053
500,28000000,0.25723338,1.22685936554543
500,28000000,0.258446745,1.22686819370238
500,28000000,0.25966011,1.22650785082839
500,28000000,0.260873475,1.22623709209128
500,28000000,0.26208684,1.22571249466416
500,28000000,0.263300205,1.22488356339947
500,28000000,0.26451357,1.22434614814472
500,28000000,0.265726935,1.22385495174397
500,28000000,0.2669403,1.22296413620108
500,28000000,0.268153665,1.21970107115048
500,28000000,0.26936703,1.21776963118301
500,28000000,0.270580395,1.21536939821697
500,28000000,0.27179376,1.21156843107695
500,28000000,0.273007125,1.20367611229264
500,28000000,0.27422049,1.19476262334224
500,28000000,0.275433855,1.18284652795531
500,28000000,0.27664722,1.17166241785203
500,28000000,0.277860585,1.15136599002643
500,28000000,0.27907395,1.12678679321692
500,28000000,0.280287315,1.10453622270574
500,28000000,0.28150068,1.08425539811486
500,28000000,0.282714045,1.05483501490852
500,28000000,0.28392741,1.02861030504483
500,28000000,0.285140775,1.00611067243122
500,28000000,0.28635414,0.986726096366993
500,28000000,0.287567505,0.970140454938724
500,28000000,0.28878087,0.959564379072265
500,28000000,0.289994235,0.952262806983856
500,28000000,0.2912076,0.950220519756416
500,28000000,0.292420965,0.952974093845325
500,28000000,0.29363433,0.960843322065415
500,28000000,0.294847695,0.969444817932477
500,28000000,0.29606106,0.99087856706542
500,28000000,0.297274425,1.00428687014731
500,28000000,0.29848779,1.02729222838371
500,28000000,0.299701155,1.05294098856104
500,28000000,0.30091452,1.07964805313197
500,28000000,0.302127885,1.10603488271513
500,28000000,0.30334125,1.13074891242486
500,28000000,0.304554615,1.15271724336524
500,28000000,0.30576798,1.17133456149679
500,28000000,0.306981345,1.18552347181255
500,28000000,0.30819471,1.19705465901563
500,28000000,0.309408075,1.20542034732281
500,28000000,0.31062144,1.21162641530453
500,28000000,0.311834805,1.20621533116726
500,28000000,0.31304817,1.21810123101691
500,28000000,0.314261535,1.22661961204149
500,28000000,0.3154749,1.21195780400404
500,28000000,0.316688265,1.21669891571181
500,28000000,0.31790163,1.2197685754464
500,28000000,0.319114995,1.2171572831203
500,28000000,0.32032836,1.21869180508893
500,28000000,0.321541725,1.22558984644751
500,28000000,0.32275509,1.23360677849968
500,28000000,0.323968455,1.23987885880533
500,28000000,0.32518182,1.23190130231819
500,28000000,0.326395185,1.22936163988616
500,28000000,0.32760855,1.22748780784057
500,28000000,0.328821915,1.22810575012524
500,28000000,0.33003528,1.2283928920296
500,28000000,0.331248645,1.22277911281101
500,28000000,0.33246201,1.22505038729033
500,28000000,0.333675375,1.21920239689233
500,28000000,0.33488874,1.21738620079843
500,28000000,0.336102105,1.21298112541242
500,28000000,0.33731547,1.2062086647309
500,28000000,0.338528835,1.19785797209678
500,28000000,0.3397422,1.19714495506973
500,28000000,0.340955565,1.16674858664574
500,28000000,0.34216893,1.15588950286534
500,28000000,0.343382295,1.13664751587558
500,28000000,0.34459566,1.11169228573923
500,28000000,0.345809025,1.09578992607224
