"If [A]","Distance [meter]","B_Rad2 []"
500,0.1941384,-1.17822249635223
500,0.195351765,-1.178618186001
500,0.19656513,-1.17901082531401
500,0.197778495,-1.17474485765687
500,0.19899186,-1.17528774718186
500,0.200205225,-1.1758256775119
500,0.20141859,-1.17638920329954
500,0.202631955,-1.17702508314722
500,0.20384532,-1.17765424747995
500,0.205058685,-1.16340439437928
500,0.20627205,-1.15976794775139
500,0.207485415,-1.15611653536549
500,0.20869878,-1.15099302680219
500,0.209912145,-1.13944587426781
500,0.21112551,-1.12788177262044
500,0.212338875,-1.11630072827432
500,0.21355224,-1.11644295327493
500,0.214765605,-1.08500341748047
500,0.21597897,-1.05355878453328
500,0.217192335,-1.0276545428843
500,0.2184057,-1.00056016635549
500,0.219619065,-0.973474315287633
500,0.22083243,-0.969447345821263
500,0.222045795,-0.952595111803628
500,0.22325916,-0.935769043298061
500,0.224472525,-0.925207135253956
500,0.22568589,-0.91919472177562
500,0.226899255,-0.913211686745757
500,0.22811262,-0.927917115741354
500,0.229325985,-0.939811565937537
500,0.23053935,-0.951734907294559
500,0.231752715,-0.967345866553462
500,0.23296608,-0.993182374195496
500,0.234179445,-1.01903974138007
500,0.23539281,-0.952908238810741
500,0.236606175,-0.989694777377149
500,0.23781954,-1.02646567775063
500,0.239032905,-1.06270565034244
500,0.24024627,-1.08770954319833
500,0.241459635,-1.11269118436396
500,0.242673,-1.13765055832034
500,0.243886365,-1.13755189383907
500,0.24509973,-1.14543245464312
500,0.246313095,-1.1532966698231
500,0.24752646,-1.18442968973496
500,0.248739825,-1.18255622635787
500,0.24995319,-1.18067565797364
500,0.251166555,-1.17901688818057
500,0.25237992,-1.17752259469001
500,0.253593285,-1.17602244860685
500,0.25480665,-1.18029044611189
500,0.256020015,-1.17972319084471
500,0.25723338,-1.17915166712092
500,0.258446745,-1.17919080466297
500,0.25966011,-1.17958479552361
500,0.260873475,-1.17997534326342
500,0.26208684,-1.17581283980388
500,0.263300205,-1.17641927919698
500,0.26451357,-1.17702100884107
500,0.265726935,-1.17773360133608
500,0.2669403,-1.17881238517184
500,0.268153665,-1.17988404466592
500,0.26936703,-1.16795303318119
500,0.270580395,-1.16396164677024
500,0.27179376,-1.15995688154874
500,0.273007125,-1.15593874174159
500,0.27422049,-1.14442148825734
500,0.275433855,-1.13325492930225
500,0.27664722,-1.12206914335976
500,0.277860585,-1.10430878657002
500,0.27907395,-1.08482771348247
500,0.280287315,-1.06533387266316
500,0.28150068,-0.995170330075246
500,0.282714045,-0.951770899804849
500,0.28392741,-0.908366767422465
500,0.285140775,-1.00198921116811
500,0.28635414,-0.981945881528111
500,0.287567505,-0.961934568384561
500,0.28878087,-0.947406153950488
500,0.289994235,-0.939019931427879
500,0.2912076,-0.930669046444697
500,0.292420965,-0.932972065702588
500,0.29363433,-0.946604735133425
500,0.294847695,-0.960271290303572
