"If [A]","Distance [meter]","B_Rad2 []"
500,2.01418175,1.1855734066834
500,2.0190352,1.15158202391926
500,2.02388865,1.1231246207768
500,2.0287421,1.03848766698759
500,2.03359555,0.981671286282531
500,2.038449,0.918899120091872
500,2.04330245,0.957076387683683
500,2.0481559,1.02462972280282
500,2.05300935,1.10645114750488
500,2.0578628,1.15854165156262
500,2.06271625,1.17587218273265
500,2.0675697,1.18088731474247
500,2.07242315,1.18043939847321
500,2.0772766,1.17931202561032
500,2.08213005,1.1626573295183
500,2.0869835,1.13408784280487
500,2.09183695,1.02250934127202
500,2.0966904,0.878869091804681
500,2.10154385,0.918732621707986
500,2.1063973,0.943031770769133
500,2.11125075,0.999190574127078
500,2.1161042,1.04023411795281
500,2.12095765,1.17779154884916
500,2.1258111,1.17609788945298
500,2.13066455,1.17557901066159
500,2.135518,1.18000363997409
500,2.14037145,1.17569374011185
500,2.1452249,1.17767262519791
500,2.15007835,1.14114824309478
500,2.1549318,1.07367953497852
500,2.15978525,1.01662879085172
500,2.1646387,0.92079734272724
500,2.16949215,0.932540059514045
500,2.1743456,0.980448500131632
500,2.17919905,1.04250111645996
500,2.1840525,1.15204321509397
500,2.18890595,1.18433670630125
500,2.1937594,1.18080765316965
500,2.19861285,1.18405375182904
500,2.2034663,1.17892111894298
500,2.20831975,1.17842809406424
500,2.2131732,1.15120658111345
500,2.21802665,1.12096176521926
500,2.2228801,1.05446860152441
500,2.22773355,0.960622626624967
500,2.232587,0.918071634466907
500,2.23744045,0.947289139656493
500,2.2422939,1.05329616291108
500,2.24714735,1.12635637354806
500,2.2520008,1.15508247914696
500,2.25685425,1.18528019167243
500,2.2617077,1.18580879010593
500,2.26656115,1.17913592706821
500,2.2714146,1.17245264231966
500,2.27626805,1.14527462559983
500,2.2811215,1.12530337659051
500,2.28597495,1.04591991723298
500,2.2908284,1.01437403097422
500,2.29568185,0.950391391496934
500,2.3005353,0.974583612175033
500,2.30538875,1.0873257977622
500,2.3102422,1.09767960297955
500,2.31509565,1.17804480366095
500,2.3199491,1.15845846249546
500,2.32480255,1.11030359029903
500,2.329656,0.957102337688957
500,2.33450945,0.809895119803055
500,2.3393629,0.676955990588315
500,2.34421635,0.53616895843888
500,2.3490698,0.446971914524703
500,2.35392325,0.334041421260038
500,2.3587767,0.303988215093983
500,2.36363015,0.25991350068535
500,2.3684836,0.187738335407183
500,2.37333705,0.195638223814077
500,2.3781905,0.179112296864206
500,2.38304395,0.183927774557172
500,2.3878974,0.152876020531963
500,2.39275085,0.127267307732146
