"If [A]","Time [ns]","Distance [meter]","Brad_2 []"
500,37999999.9999999,0.054601425,0.261541025772366
500,37999999.9999999,0.05581479,0.27626760872809
500,37999999.9999999,0.057028155,0.281529065231871
500,37999999.9999999,0.05824152,0.291907424519563
500,37999999.9999999,0.059454885,0.290940908003635
500,37999999.9999999,0.06066825,0.317928395318746
500,37999999.9999999,0.061881615,0.31822082905301
500,37999999.9999999,0.06309498,0.334977102122755
500,37999999.9999999,0.064308345,0.352621518968708
500,37999999.9999999,0.06552171,0.377005265069311
500,37999999.9999999,0.066735075,0.379842548998858
500,37999999.9999999,0.06794844,0.39556981144255
500,37999999.9999999,0.069161805,0.413591325800141
500,37999999.9999999,0.07037517,0.425008653229072
500,37999999.9999999,0.071588535,0.460502507258622
500,37999999.9999999,0.0728019,0.475638205644645
500,37999999.9999999,0.074015265,0.488596757510747
500,37999999.9999999,0.07522863,0.501171993556664
500,37999999.9999999,0.076441995,0.518742838570524
500,37999999.9999999,0.07765536,0.543703716757671
500,37999999.9999999,0.078868725,0.568564782738587
500,37999999.9999999,0.08008209,0.605766826374481
500,37999999.9999999,0.081295455,0.620983259215507
500,37999999.9999999,0.08250882,0.621780950081987
500,37999999.9999999,0.083722185,0.605687222025835
500,37999999.9999999,0.08493555,0.664286509849592
500,37999999.9999999,0.086148915,0.712926921087014
500,37999999.9999999,0.08736228,0.698281132046344
500,37999999.9999999,0.088575645,0.7026614526127
500,37999999.9999999,0.08978901,0.70873808066781
500,37999999.9999999,0.091002375,0.739217381093226
500,37999999.9999999,0.09221574,0.767841452947235
500,37999999.9999999,0.093429105,0.78895673455512
500,37999999.9999999,0.09464247,0.834726631954895
500,37999999.9999999,0.095855835,0.8501293080767
500,37999999.9999999,0.0970692,0.875688406000052
500,37999999.9999999,0.098282565,0.916740744280703
500,37999999.9999999,0.09949593,0.923483868832534
500,37999999.9999999,0.100709295,0.946174418624159
500,37999999.9999999,0.10192266,0.965577850850843
500,37999999.9999999,0.103136025,0.984232174646652
500,37999999.9999999,0.10434939,1.00439141250922
500,37999999.9999999,0.105562755,1.0270259602931
500,37999999.9999999,0.10677612,1.04812966712367
500,37999999.9999999,0.107989485,1.06985147391129
500,37999999.9999999,0.10920285,1.0920526953996
500,37999999.9999999,0.110416215,1.10561846647657
500,37999999.9999999,0.11162958,1.12185739913817
500,37999999.9999999,0.112842945,1.13608287732085
500,37999999.9999999,0.11405631,1.14470845926289
500,37999999.9999999,0.115269675,1.147516291836
500,37999999.9999999,0.11648304,1.15119328399105
500,37999999.9999999,0.117696405,1.15085183219115
500,37999999.9999999,0.11890977,1.16043249304549
500,37999999.9999999,0.120123135,1.1645888859036
500,37999999.9999999,0.1213365,1.16777357415415
500,37999999.9999999,0.122549865,1.17041900187593
500,37999999.9999999,0.12376323,1.17208340953761
500,37999999.9999999,0.124976595,1.17375696073705
500,37999999.9999999,0.12618996,1.17529666352216
500,37999999.9999999,0.127403325,1.17649640407596
500,37999999.9999999,0.12861669,1.17815754871737
500,37999999.9999999,0.129830055,1.17902205783842
500,37999999.9999999,0.13104342,1.18096040772399
500,37999999.9999999,0.132256785,1.18207052175106
500,37999999.9999999,0.13347015,1.18345501425321
500,37999999.9999999,0.134683515,1.18476616863569
500,37999999.9999999,0.13589688,1.18591977015767
500,37999999.9999999,0.137110245,1.18680348160941
500,37999999.9999999,0.13832361,1.1874940473611
500,37999999.9999999,0.139536975,1.18730510509335
500,37999999.9999999,0.14075034,1.18666219474112
500,37999999.9999999,0.141963705,1.18412046734068
500,37999999.9999999,0.14317707,1.18063385938911
500,37999999.9999999,0.144390435,1.17372032302168
500,37999999.9999999,0.1456038,1.16492651890167
500,37999999.9999999,0.146817165,1.15247126721899
500,37999999.9999999,0.14803053,1.13728442607479
500,37999999.9999999,0.149243895,1.11836598345823
500,37999999.9999999,0.15045726,1.10463827245267
500,37999999.9999999,0.151670625,1.07216699275758
500,37999999.9999999,0.15288399,1.05128643819884
500,37999999.9999999,0.154097355,1.02759033721253
500,37999999.9999999,0.15531072,1.00554010926236
500,37999999.9999999,0.156524085,0.98832527219795
500,37999999.9999999,0.15773745,0.972496047920385
500,37999999.9999999,0.158950815,0.964590411821064
500,37999999.9999999,0.16016418,0.961392042682344
500,37999999.9999999,0.161377545,0.966043323481108
500,37999999.9999999,0.16259091,0.963098459973065
500,37999999.9999999,0.163804275,0.963372098109301
500,37999999.9999999,0.16501764,0.971527837784441
